509983000.00200
SUN, -517101509.76560, 520814428.23216, 1737014476.17780, -8.44996, 2.78620, 21.84249, 1.00, 1.00, 1.00, 0.99, 0.99, 0.01, 1.24690, 695800000.00000, 1988999999999999901909255192576.00000, 0.12654, 0.00000, 1, texture/sun.bmp
MERCURY, 33789695842.51632, -7224099151.46794, -55702791572.99670, 31322.66893, -673.02810, 27666.76565, 1.00, 1.00, 1.00, 0.99, 0.50, 0.20, 1.61101, 2439700.00000, 330104000000000018874368.00000, 0.12654, 0.00000, 0, texture/mercury.bmp
VENUS, 103230889748.89694, -5874663253.46090, -26636204939.27416, 8813.12521, -29.59399, 33996.16504, 1.00, 1.00, 1.00, 0.99, 0.40, 0.10, 1.36642, 6051800.00000, 4867320000000000119537664.00000, 0.09552, 0.00000, 0, texture/venus.bmp
EARTH, -136059342150.73618, 507022206.01147, 63840644972.77554, -12896.78844, 2.03194, -27077.81048, 1.00, 1.00, 1.00, 0.01, 0.30, 0.99, -8.87713, 6371000.00000, 5972190000000000390594560.00000, 0.40841, 0.00007, 0, texture/earth.bmp
MOON, -136266777211.88942, 552511928.39965, 63400072183.49034, -12125.54539, 4.89832, -27503.54944, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 2.68302, 1737100.00000, 73477000000000000786432.00000, 0.11659, 0.00000, 0, texture/moon.bmp
MARS, -225121824660.25262, 4111101411.40604, -88736371372.78160, 9995.03353, -668.22316, -20380.69602, 1.00, 1.00, 1.00, 0.90, 0.45, 0.01, -6.48640, 3389500.00000, 641692999999999994494976.00000, 0.43965, 0.00007, 0, texture/mars.bmp
JUPITER, -789484728631.20593, 17637168024.96872, 143892392187.39413, -2515.81035, 112.76008, -12377.87206, 1.00, 1.00, 1.00, 0.90, 0.45, 0.11, -18.60599, 69911000.00000, 1898129999999999971155771392.00000, 0.05463, 0.00017, 0, texture/jupiter.bmp
SATURN, -505217528795.37665, 44596966057.24258, -1405194358439.44775, 8594.31853, -283.47622, -3268.94227, 1.00, 1.00, 1.00, 0.01, 0.40, 0.20, -24.08129, 58232000.00000, 568319000000000010177478656.00000, 0.46653, 0.00017, 0, texture/saturn.bmp
URANUS, 2809627451927.11133, -32621435676.11831, 1012997044707.98047, -2371.34041, 53.58573, 6087.94336, 1.00, 1.00, 1.00, 0.02, 0.01, 0.23, -12.85070, 25362000.00000, 86810300000000005814353920.00000, 1.70641, 0.00010, 0, texture/uranus.bmp
NEPTUNE, 4191740547585.08838, -63936062546.82038, -1584484671411.55762, 1882.03859, -148.55844, 5119.49857, 1.00, 1.00, 1.00, 0.10, 0.10, 0.10, -13.82707, 24622000.00000, 102409999999999997009461248.00000, 0.49428, 0.00011, 0, texture/neptune.bmp
PLUTO, 1308327984752.50513, 132838954910.45540, -4763070936621.14160, 5367.65685, -1580.72011, 338.61150, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 2.49289, 1195000.00000, 13070000000000000524288.00000, 0.00000, 0.00001, 0, texture/pluto.bmp
