0
SUN, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0.99, 0.99, 0.01, 3.1764, 6.958e+08, 1.989e+30, 0.126536, 2.972e-06, 1, texture/sun.bmp
MERCURY, -21032864016.2, -3516637470.89, -67101936890.6, 38631.4629928, -4610.17583364, -12225.1992207, 1, 1, 1, 0.99, 0.5, 0.2, 6.19611, 2.4397e+06, 3.30104e+23, 0.126536, 1.24e-06, 0, texture/mercury.bmp
VENUS, -107485793175, 6135028355.27, -4061819527.65, 2867.63573346, -773.862340122, -35094.5688609, 1, 1, 1, 0.99, 0.4, 0.1, 3.63238, 6.0518e+06, 4.86732e+24, 0.09552, 2.99e-07, 0, texture/venus.bmp
EARTH, -25191171544.4, -24807936.3502, 144232620764, -27861.3574049, -241.94124403, -5142.99503832, 1, 1, 1, 0.01, 0.3, 0.99, 6.07958, 6.371e+06, 5.97219e+24, 0.408407, 7.272e-05, 0, texture/earth.bmp
MOON, -25508821786.4, 11747887.672, 143990737589, -27300.5703416, -243.580575309, -5942.92730043, 1, 1, 1, 0.01, 0.01, 0.01, 3.15647, 1.7371e+06, 7.3477e+22, 0.116588, 2.644e-06, 0, texture/moon.bmp
ISS, -25188548234.9, -20430501.5202, 144228206180, -24045.104894, 3219.41023024, 569.331166565, 0.8, 0.8, 0.8, 0.01, 0.01, 0.01, 0, 110, 419454.555, 0, 0, 2
MARS, 208014812085, -5202972607.57, -3838308368.17, 3273.47946167, 277.006792101, 26359.0595511, 1, 1, 1, 0.9, 0.45, 0.01, 5.84873, 3.3895e+06, 6.41693e+23, 0.439648, 7.0727e-05, 0, texture/mars.bmp
JUPITER, 598928916591, -15256737597, 438427294346, -5923.46168189, -111.330027566, 11227.8158349, 1, 1, 1, 0.9, 0.45, 0.11, 1.70729, 6.9911e+07, 1.89813e+27, 0.0546288, 0.000174528, 0, texture/jupiter.bmp
METIS, 598936778586, -15261214478.9, 438299605611, 25577.7323523, 423.606649986, 13162.638643, 0.25, 0.25, 0.25, 0.01, 0.01, 0.01, 0, 20000, 3.6e+16, 0, 0, 2
ADRASTEA, 599039683619, -15257489164, 438361251586, 10174.5776492, 1083.94715895, 38221.3665698, 1, 1, 1, 0.01, 0.01, 0.01, 0, 10000, 2.0e+15, 0, 0, 2
AMALTHEA, 599044715277, -15249111942.6, 438566159563, -26350.648486, 92.9545216689, 28158.7626831, 1, 1, 1, 0.01, 0.01, 0.01, 0, 83500, 2.08e+18, 0, 0, 2
THEBE, 598961622088, -15267711768.7, 438208458170, 17703.4904725, 601.812873586, 15144.8523522, 1, 1, 1, 0.01, 0.01, 0.01, 0, 49300, 4.3e+17, 0, 0, 2
IO, 598973708935, -15270987931.8, 438007015693, 11261.837732, 216.317616992, 13102.8370101, 0.8, 0.8, 0.1, 0.01, 0.01, 0.01, 0, 1821300, 8.933e+22, 0, 0, 2
EUROPA, 598296834924, -15259780551.3, 438644965559, -10295.5472992, -537.24454613, -1847.96517868, 0.8, 0.5, 0.2, 0.01, 0.01, 0.01, 0, 1565000, 4.797e+22, 0, 0, 2
GANYMEDE, 597893185853, -15278384354.8, 438155648182, -3144.59402483, -469.101855485, 719.625704398, 0.5, 0.5, 0.5, 0.01, 0.01, 0.01, 0, 2634000, 1.482e+23, 0, 0, 2
CALLISTO, 599594911438, -15190620864.6, 440183160292, -13586.7433674, -115.759011674, 14197.304634, 0.2, 0.2, 0.2, 0.01, 0.01, 0.01, 0, 2403000, 1.076e+23, 0, 0, 2
HIMALIA, 594131275721, -10453329327.2, 447428051875, -8760.75972797, 1018.9214468, 9811.32573629, 1, 1, 1, 0.01, 0.01, 0.01, 0, 85000, 6.7440079e+18, 0, 0, 2
ELARA, 592922605296, -10997319467.1, 432814355352, -3235.65389963, -844.034741716, 8257.56556456, 1, 1, 1, 0.01, 0.01, 0.01, 0, 40000, 8.6922769e+17, 0, 0, 2
PASIPHAE, 600359924512, -2885982893.72, 416387202195, -7744.35199104, 326.583405886, 12271.089912, 1, 1, 1, 0.01, 0.01, 0.01, 0, 18000, 2.9973369e+17, 0, 0, 2
SINOPE, 574901628137, -10869271647.3, 455681678629, -5259.48151521, -845.558073484, 12633.7887732, 1, 1, 1, 0.01, 0.01, 0.01, 0, 14000, 7.4933422e+16, 0, 0, 2
LYSITHEA, 609023667013, -14719549006.2, 441099120005, -7127.77229013, 1570.15554902, 14253.7539301, 1, 1, 1, 0.01, 0.01, 0.01, 0, 12000, 6.2944074e+16, 0, 0, 2
CARME, 584365786606, -21355399401.7, 417090831417, -7289.99871588, -265.84625029, 12782.046533, 1, 1, 1, 0.01, 0.01, 0.01, 0, 15000, 1.3188282e+17, 0, 0, 2
ANANKE, 610173219602, -24152870632.7, 458140910986, -4529.95695996, 774.524144942, 9875.90806381, 1, 1, 1, 0.01, 0.01, 0.01, 0, 10000, 2.9973369e+16, 0, 0, 2
LEDA, 610424457622, -10793480819.6, 436368383299, -5436.2248254, -1114.4295678, 13992.7956555, 1, 1, 1, 0.01, 0.01, 0.01, 0, 5000, 1.094028e+16, 0, 0, 2
CALLIRRHOE, 585821159456, -6551906540.74, 458816177933, -4925.59243124, -1149.87557761, 12731.7757277, 1, 1, 1, 0.01, 0.01, 0.01, 0, 4300, 8.6922769e+14, 0, 0, 2
THEMISTO, 605353770480, -12017689862.6, 437720167980, -5141.67651939, -2817.48054899, 14386.6706238, 1, 1, 1, 0.01, 0.01, 0.01, 0, 4000, 6.8938748e+14, 0, 0, 2
MEGACLITE, 570754164594, -350079166.85, 433398019922, -6745.93372541, 10.1029049952, 12645.7051674, 1, 1, 1, 0.01, 0.01, 0.01, 0, 2700, 2.0981358e+14, 0, 0, 2
TAYGETE, 616261313549, -16809012526, 418684381244, -6979.95169669, 445.372822303, 9646.17482159, 1, 1, 1, 0.01, 0.01, 0.01, 0, 2500, 1.6485353e+14, 0, 0, 2
CHALDENE, 622015251045, -10345745200.1, 442454486442, -5922.652397, -510.207037537, 8987.14712348, 1, 1, 1, 0.01, 0.01, 0.01, 0, 1900, 7.4933422e+13, 0, 0, 2
HARPALYKE, 611322716870, -20507001082.8, 458447477455, -4483.06223216, 939.499719848, 10022.3048121, 1, 1, 1, 0.01, 0.01, 0.01, 0, 2200, 1.1989347e+14, 0, 0, 2
KALYKE, 616869870787, -8753045063.39, 418206868206, -7501.60008666, -160.720151753, 10265.175423, 1, 1, 1, 0.01, 0.01, 0.01, 0, 2600, 1.948269e+14, 0, 0, 2
IOCASTE, 621366374842, -28761360868.3, 436858666563, -6040.98611905, -62.81834252, 9317.9995209, 1, 1, 1, 0.01, 0.01, 0.01, 0, 2600, 1.948269e+14, 0, 0, 2
ERINOME, 605165483239, -22158116201.2, 462141671962, -4184.53177416, -281.896759811, 10000.303643, 1, 1, 1, 0.01, 0.01, 0.01, 0, 1600, 4.4960053e+13, 0, 0, 2
ISONOE, 583784391647, -21427250126.5, 418384254357, -7744.40859608, -251.602245655, 12299.0669171, 1, 1, 1, 0.01, 0.01, 0.01, 0, 1900, 7.4933422e+13, 0, 0, 2
PRAXIDIKE, 613123795599, -23293999735, 422110800081, -6887.39621225, 849.312430859, 9514.06946241, 1, 1, 1, 0.01, 0.01, 0.01, 0, 3400, 4.3461385e+14, 0, 0, 2
AUTONOE, 613744758815, -22438515044.2, 462371575243, -4463.14916096, -986.451348875, 10374.8897887, 1, 1, 1, 0.01, 0.01, 0.01, 0, 2000, 8.9920106e+13, 0, 0, 2
THYONE, 604288764971, -24905976638.1, 413917386351, -7541.89248859, 696.514384103, 11187.6036268, 1, 1, 1, 0.01, 0.01, 0.01, 0, 2000, 8.9920106e+13, 0, 0, 2
HERMIPPE, 591403568577, -2854018945.18, 418073262324, -7839.8978677, 93.5730878662, 11912.6507235, 1, 1, 1, 0.01, 0.01, 0.01, 0, 2000, 8.9920106e+13, 0, 0, 2
AITNE, 578307861243, -19826913134.5, 457077484306, -5100.65453217, -512.713296705, 12791.8654116, 1, 1, 1, 0.01, 0.01, 0.01, 0, 1500, 4.4960053e+13, 0, 0, 2
EURYDOME, 578980404803, -4108325307.04, 440769354038, -5568.50740848, -991.906372836, 13370.0398623, 1, 1, 1, 0.01, 0.01, 0.01, 0, 1500, 4.4960053e+13, 0, 0, 2
EUANTHE, 609383058536, -22807918481.8, 429322079164, -7571.49170203, 855.766934431, 8731.29619266, 1, 1, 1, 0.01, 0.01, 0.01, 0, 1500, 4.4960053e+13, 0, 0, 2
EUPORIE, 591162076523, -14905232793.4, 421708240986, -8095.56634948, -1560.76226877, 11888.3596531, 1, 1, 1, 0.01, 0.01, 0.01, 0, 1000, 1.4986684e+13, 0, 0, 2
ORTHOSIE, 576258646281, -2669384219.76, 444797878253, -5268.19393862, 587.293709615, 12792.5226706, 1, 1, 1, 0.01, 0.01, 0.01, 0, 1000, 1.4986684e+13, 0, 0, 2
SPONDE, 583876475410, -27022665028.8, 414496404093, -7252.57090149, -595.007165444, 12279.0562659, 1, 1, 1, 0.01, 0.01, 0.01, 0, 1000, 1.4986684e+13, 0, 0, 2
KALE, 571535378426, -21232408833.2, 442842901777, -5618.89577361, -287.449676863, 13046.9496806, 1, 1, 1, 0.01, 0.01, 0.01, 0, 1000, 1.4986684e+13, 0, 0, 2
