321085715.00000
SUN, -74631685.66420, 16695429.42409, -1241131.15489, -12.45266, 2.90054, -0.45578, 1.00, 1.00, 1.00, 0.99, 0.99, 0.01, 1.24690, 695800000.00000, 1988999999999999901909255192576.00000, 0.12654, 0.00000, 1, texture/sun.bmp
MERCURY, 47532474422.76612, -7322806724.68313, -37032500439.40197, 20168.14256, 1440.84638, 41269.48361, 1.00, 1.00, 1.00, 0.99, 0.50, 0.20, 1.61101, 2439700.00000, 330104000000000018874368.00000, 0.12654, 0.00000, 0, texture/mercury.bmp
VENUS, 99160851835.63635, -5184963984.12758, 38048591958.95129, -13065.70564, 1219.99785, 32955.71739, 1.00, 1.00, 1.00, 0.99, 0.40, 0.10, 1.36642, 6051800.00000, 4867320000000000119537664.00000, 0.09552, 0.00000, 0, texture/venus.bmp
EARTH, -145672645566.20206, 4097958.41564, 33098345362.89594, -7103.27422, 1.33697, -29093.75699, 1.00, 1.00, 1.00, 0.01, 0.30, 0.99, 0.70118, 6371000.00000, 5972190000000000390594560.00000, 0.40841, 0.00007, 0, texture/earth.bmp
MOON, -145664586900.33527, -6965484.19697, 32701910001.62138, -6120.93484, 83.73007, -29118.47276, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 2.68302, 1737100.00000, 73477000000000000786432.00000, 0.11659, 0.00000, 0, texture/moon.bmp
MARS, -207228802027.22266, 7980511877.40986, 138840132597.21802, -12581.21713, -67.90446, -18061.37842, 1.00, 1.00, 1.00, 0.90, 0.45, 0.01, 3.09191, 3389500.00000, 641692999999999994494976.00000, 0.43965, 0.00007, 0, texture/mars.bmp
JUPITER, 701871445057.70093, -14674292600.14962, -251099955633.13791, 4234.06146, -148.43318, 12926.06388, 1.00, 1.00, 1.00, 0.90, 0.45, 0.11, 1.06523, 69911000.00000, 1898129999999999971155771392.00000, 0.05463, 0.00017, 0, texture/jupiter.bmp
SATURN, -1419790850406.81787, 56778712510.28804, -16280316120.17063, -404.26476, 183.92398, -9678.87992, 1.00, 1.00, 1.00, 0.01, 0.40, 0.20, 1.87311, 58232000.00000, 568319000000000010177478656.00000, 0.46653, 0.00017, 0, texture/saturn.bmp
URANUS, 2999317466990.75098, -39571064835.24601, -191777076421.61737, 384.31651, 19.09331, 6478.59878, 1.00, 1.00, 1.00, 0.02, 0.01, 0.23, 3.52539, 25362000.00000, 86810300000000005814353920.00000, 1.70641, 0.00010, 0, texture/uranus.bmp
NEPTUNE, 3729254803923.70605, -34431147131.75070, -2501431304961.31152, 2992.20365, -162.42340, 4546.72312, 1.00, 1.00, 1.00, 0.10, 0.10, 0.10, 4.81495, 24622000.00000, 102409999999999997009461248.00000, 0.49428, 0.00011, 0, texture/neptune.bmp
PLUTO, 274683592138.72076, 426645629775.25500, -4729179246799.93652, 5541.46461, -1517.96577, -716.44821, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 4.75882, 1195000.00000, 13070000000000000524288.00000, 0.00000, 0.00001, 0, texture/pluto.bmp
