503221081.70239
SUN, -464490617.14563, 502054588.27839, 1589692583.51486, -7.08176, 2.75781, 21.68342, 1.00, 1.00, 1.00, 0.99, 0.99, 0.01, 1.24690, 695800000.00000, 1988999999999999901909255192576.00000, 0.12654, 0.00000, 1, texture/sun.bmp
MERCURY, 52365141668.76605, -3955629941.45916, 6656614786.96313, -14099.39284, 5342.44372, 50640.94999, 1.00, 1.00, 1.00, 0.99, 0.50, 0.20, 1.61101, 2439700.00000, 330104000000000018874368.00000, 0.12654, 0.00000, 0, texture/mercury.bmp
VENUS, -82262212172.26022, 4236050036.13435, -69131001156.64590, 22496.47311, -1673.05520, -26665.88970, 1.00, 1.00, 1.00, 0.99, 0.40, 0.10, 1.36642, 6051800.00000, 4867320000000000119537664.00000, 0.09552, 0.00000, 0, texture/venus.bmp
EARTH, 33820290005.81799, 503291138.39568, 145476990481.70679, -29444.68354, 0.16579, 6898.68349, 1.00, 1.00, 1.00, 0.01, 0.30, 0.99, 1.59376, 6371000.00000, 5972190000000000390594560.00000, 0.40841, 0.00007, 0, texture/earth.bmp
MOON, 34052467147.04515, 467241567.84684, 145833333838.15433, -30320.70075, -14.85089, 7411.99669, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 2.68302, 1737100.00000, 73477000000000000786432.00000, 0.11659, 0.00000, 0, texture/moon.bmp
MARS, -243407194477.47345, 7611940522.48652, 57964269277.40436, -4553.89484, -336.69460, -21511.49620, 1.00, 1.00, 1.00, 0.90, 0.45, 0.01, 3.98450, 3389500.00000, 641692999999999994494976.00000, 0.43965, 0.00007, 0, texture/mars.bmp
JUPITER, -767831896141.17590, 16774680449.31248, 226599105751.43976, -3882.50798, 142.07810, -12055.25880, 1.00, 1.00, 1.00, 0.90, 0.45, 0.11, 0.54023, 69911000.00000, 1898129999999999971155771392.00000, 0.05463, 0.00017, 0, texture/jupiter.bmp
SATURN, -562865964155.65173, 46473397049.26883, -1381807582523.07202, 8450.33867, -271.31658, -3645.87821, 1.00, 1.00, 1.00, 0.01, 0.40, 0.20, 1.34813, 58232000.00000, 568319000000000010177478656.00000, 0.46653, 0.00017, 0, texture/saturn.bmp
URANUS, 2825343454630.42236, -32980046838.51494, 971707981162.62158, -2275.99458, 52.45838, 6121.46555, 1.00, 1.00, 1.00, 0.02, 0.01, 0.23, 2.10774, 25362000.00000, 86810300000000005814353920.00000, 1.70641, 0.00010, 0, texture/uranus.bmp
NEPTUNE, 4178869821045.31104, -62929138618.82202, -1619055521848.91504, 1923.95874, -149.19894, 5103.44183, 1.00, 1.00, 1.00, 0.10, 0.10, 0.10, 2.62722, 24622000.00000, 102409999999999997009461248.00000, 0.49428, 0.00011, 0, texture/neptune.bmp
PLUTO, 1271991808628.13110, 143526483103.66165, -4765240485482.51367, 5377.32735, -1579.68917, 302.92213, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 3.98873, 1195000.00000, 13070000000000000524288.00000, 0.00000, 0.00001, 0, texture/pluto.bmp
